School,Conference,Division,ConfWins,ConfLoss,OverallWins,OverallLoss,HomeWins,HomeLoss,AwayWins,AwayLoss
MS State,SEC,SEC Western Division,1,7,3,9,1,6,2,3
Troy,Sun Belt,Sun Belt Conference football season,6,1,8,5,5,1,3,4
Middle Tenn.,Sun Belt,Sun Belt Conference football season,6,1,7,6,3,2,4,4
Arkansas State,Sun Belt,Sun Belt Conference football season,4,3,6,6,3,1,3,5
FL Atlantic,Sun Belt,Sun Belt Conference football season,4,3,5,7,2,2,3,5
LA-Lafayette,Sun Belt,Sun Belt Conference football season,3,4,6,6,3,3,3,3
LA-Monroe,Sun Belt,Sun Belt Conference football season,3,4,4,8,2,3,2,5
North Texas,Sun Belt,Sun Belt Conference football season,2,5,3,9,2,3,1,6
FIU,Sun Belt,Sun Belt Conference football season,0,7,0,12,0,6,0,6
Southern Miss,USA,USA East Division,6,2,9,5,6,1,3,4
East Carolina,USA,USA East Division,5,3,7,6,4,3,3,3
Marshall,USA,USA East Division,4,4,5,7,4,1,1,6
UCF,USA,USA East Division,3,5,4,8,2,5,2,3
UAB,USA,USA East Division,2,6,3,9,3,3,0,6
Memphis,USA,USA East Division,1,7,2,10,1,6,1,4
Houston,USA,USA West Division,7,1,10,4,7,1,3,3
Rice,USA,USA West Division,6,2,7,6,3,1,4,5
Tulsa,USA,USA West Division,5,3,8,5,5,1,3,4
SMU,USA,USA West Division,4,4,6,6,5,1,1,5
UTEP,USA,USA West Division,3,5,5,7,3,3,2,4
Tulane,USA,USA West Division,2,6,4,8,3,2,1,6
Boise State,Western Athletic,Western Athletic Conference football season,8,1,13,0,6,1,7,1
Hawaii,Western Athletic,Western Athletic Conference football season,7,1,11,3,8,1,3,2
San Jose State,Western Athletic,Western Athletic Conference football season,5,3,9,4,7,1,2,3
Nevada,Western Athletic,Western Athletic Conference football season,5,3,8,5,5,2,3,3
Fresno State,Western Athletic,Western Athletic Conference football season,4,4,4,8,3,3,1,5
Idaho,Western Athletic,Western Athletic Conference football season,3,5,4,8,2,3,2,5
NM State,Western Athletic,Western Athletic Conference football season,2,6,4,8,3,4,1,4
LA Tech,Western Athletic,Western Athletic Conference football season,1,7,3,10,2,3,1,7
Utah State,Western Athletic,Western Athletic Conference football season,1,7,1,11,1,4,0,7
BYU,Mountain West,Mountain West,8,1,11,2,6,1,5,2
TCU,Mountain West,Mountain West,6,2,11,2,5,1,6,1
Utah,Mountain West,Mountain West,5,3,8,5,5,2,3,3
Wyoming,Mountain West,Mountain West,5,3,6,6,4,2,2,4
New Mexico,Mountain West,Mountain West,4,4,6,7,3,4,3,3
Air Force,Mountain West,Mountain West,3,5,4,8,2,4,2,4
San Diego St,Mountain West,Mountain West,3,5,3,9,3,3,0,6
CO State,Mountain West,Mountain West,1,7,4,8,3,3,1,5
UNLV,Mountain West,Mountain West,1,7,2,10,2,4,0,6
Ohio State,#N/A,Big 10 Conference,8,1,12,1,7,1,5,1
Wisconsin,#N/A,Big 10 Conference,7,1,12,1,9,1,3,1
Michigan,#N/A,Big 10 Conference,7,1,11,2,7,1,4,1
Penn State,#N/A,Big 10 Conference,5,3,9,4,7,1,2,3
Purdue,#N/A,Big 10 Conference,5,3,8,6,5,2,3,4
Minnesota,#N/A,Big 10 Conference,3,5,6,7,4,3,2,4
Indiana,#N/A,Big 10 Conference,3,5,5,7,3,4,2,3
Iowa,#N/A,Big 10 Conference,2,6,6,7,4,4,2,3
Northwestern,#N/A,Big 10 Conference,2,6,4,8,2,4,2,4
MI State,#N/A,Big 10 Conference,1,7,4,8,2,5,2,3
Illinois,#N/A,Big 10 Conference,1,7,2,10,1,6,1,4
