,Cohort Year,School,Conference,Sport,State,GSR,FGR
131,2006,Norfolk State University,Mid-Eastern Athletic Conf.,Football,VA,58,50.0
132,2006,North Carolina A&T State University,Mid-Eastern Athletic Conf.,Football,NC,37,42.0
133,2006,North Carolina Central University,Mid-Eastern Athletic Conf.,Football,NC,54,41.0
134,2006,North Carolina State University,Atlantic Coast Conference,Football,NC,64,57.0
135,2006,North Dakota State University,Missouri Valley Football Conference,Football,ND,73,66.0
136,2006,University of North Dakota,Big Sky Conference,Football,ND,71,65.0
137,2006,University of North Texas,Sun Belt Conference,Football,TX,65,62.0
138,2006,University of Louisiana at Monroe,Sun Belt Conference,Football,LA,59,51.0
139,2006,Northern Arizona University,Big Sky Conference,Football,AZ,75,42.0
140,2006,University of Northern Colorado,Big Sky Conference,Football,CO,70,49.0
141,2006,Northern Illinois University,Mid-American Conference,Football,IL,85,67.0
142,2006,University of Northern Iowa,Missouri Valley Football Conference,Football,IA,76,67.0
143,2006,Northwestern State University,Southland Conference,Football,LA,57,46.0
144,2006,Northwestern University,Big Ten Conference,Football,IL,97,92.0
145,2006,University of Notre Dame,Independent,Football,IN,93,74.0
146,2006,The Ohio State University,Big Ten Conference,Football,OH,75,58.0
147,2006,Ohio University,Mid-American Conference,Football,OH,75,65.0
148,2006,Oklahoma State University,Big 12 Conference,Football,OK,56,45.0
149,2006,University of Oklahoma,Big 12 Conference,Football,OK,51,43.0
150,2006,Old Dominion University,Colonial Athletic Association,Football,VA,50,
151,2006,Oregon State University,Pac-12 Conference,Football,OR,66,59.0
152,2006,University of Oregon,Pac-12 Conference,Football,OR,72,57.0
153,2006,Pennsylvania State University,Big Ten Conference,Football,PA,85,72.0
154,2006,University of Pennsylvania,The Ivy League,Football,PA,95,
155,2006,University of Pittsburgh,American Athletic Conference,Football,PA,68,55.0
156,2006,Portland State University,Big Sky Conference,Football,OR,59,43.0
157,2006,Prairie View A&M University,Southwestern Athletic Conf.,Football,TX,53,49.0
158,2006,Princeton University,The Ivy League,Football,NJ,90,
159,2006,Purdue University,Big Ten Conference,Football,IN,64,57.0
160,2006,University of Rhode Island,Colonial Athletic Association,Football,RI,55,52.0
161,2006,Rice University,Conference USA,Football,TX,96,89.0
162,2006,University of Richmond,Colonial Athletic Association,Football,VA,91,82.0
163,2006,Robert Morris University,Northeast Conference,Football,PA,53,41.0
164,2006,"Rutgers, The State University of New Jersey, New Brunswick",American Athletic Conference,Football,NJ,85,66.0
165,2006,Sacred Heart University,Northeast Conference,Football,CT,50,44.0
166,2006,Saint Francis University (Pennsylvania),Northeast Conference,Football,PA,65,55.0
167,2006,Sam Houston State University,Southland Conference,Football,TX,58,58.0
168,2006,Samford University,Southern Conference,Football,AL,91,65.0
169,2006,San Diego State University,Mountain West Conference,Football,CA,68,66.0
170,2006,University of San Diego,Pioneer Football League,Football,CA,83,
171,2006,San Jose State University,Western Athletic Conference,Football,CA,51,53.0
172,2006,Savannah State University,Mid-Eastern Athletic Conf.,Football,GA,31,22.0
173,2006,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,50,41.0
174,2006,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,65,51.0
175,2006,South Dakota State University,Missouri Valley Football Conference,Football,SD,80,68.0
176,2006,University of South Dakota,Missouri Valley Football Conference,Football,SD,60,55.0
177,2006,University of South Florida,American Athletic Conference,Football,FL,57,39.0
178,2006,Southeast Missouri State University,Ohio Valley Conference,Football,MO,63,48.0
179,2006,Southeastern Louisiana University,Southland Conference,Football,LA,58,42.0
180,2006,University of Southern California,Pac-12 Conference,Football,CA,53,44.0
181,2006,Southern Illinois University at Carbondale,Missouri Valley Football Conference,Football,IL,73,66.0
182,2006,Southern Methodist University,Conference USA,Football,TX,75,63.0
183,2006,The University of Southern Mississippi,Conference USA,Football,MS,71,59.0
184,2006,"Southern University, Baton Rouge",Southwestern Athletic Conf.,Football,LA,52,55.0
185,2006,Southern Utah University,Big Sky Conference,Football,UT,40,24.0
186,2006,Missouri State University,Missouri Valley Football Conference,Football,MO,63,67.0
187,2006,Texas State University,Western Athletic Conference,Football,TX,64,45.0
188,2006,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,65,62.0
189,2006,Stanford University,Pac-12 Conference,Football,CA,93,89.0
190,2006,Stephen F. Austin State University,Southland Conference,Football,TX,39,38.0
191,2006,Stony Brook University,Big South Conference,Football,NY,70,61.0
192,2006,Syracuse University,American Athletic Conference,Football,NY,77,64.0
193,2006,Temple University,American Athletic Conference,Football,PA,79,60.0
194,2006,Tennessee State University,Ohio Valley Conference,Football,TN,51,45.0
195,2006,Tennessee Technological University,Ohio Valley Conference,Football,TN,71,61.0
196,2006,University of Tennessee at Chattanooga,Southern Conference,Football,TN,46,35.0
197,2006,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,64,61.0
198,2006,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,62,43.0
199,2006,"Texas A&M University, College Station",Southeastern Conference,Football,TX,74,64.0
200,2006,Texas Christian University,Big 12 Conference,Football,TX,85,80.0
201,2006,Texas Southern University,Southwestern Athletic Conf.,Football,TX,38,33.0
202,2006,Texas Tech University,Big 12 Conference,Football,TX,72,56.0
203,2006,University of Texas at Austin,Big 12 Conference,Football,TX,56,57.0
204,2006,University of Texas at El Paso,Conference USA,Football,TX,66,59.0
205,2006,University of Toledo,Mid-American Conference,Football,OH,67,60.0
206,2006,Towson University,Colonial Athletic Association,Football,MD,82,77.0
207,2006,Troy University,Sun Belt Conference,Football,AL,48,43.0
208,2006,Tulane University,Conference USA,Football,LA,82,63.0
209,2006,The University of Tulsa,Conference USA,Football,OK,75,59.0
210,2006,U.S. Air Force Academy,Mountain West Conference,Football,CO,93,
211,2006,U.S. Military Academy,Independent,Football,NY,89,
212,2006,U.S. Naval Academy,Independent,Football,MD,84,
213,2006,Utah State University,Western Athletic Conference,Football,UT,84,56.0
214,2006,University of Utah,Pac-12 Conference,Football,UT,73,57.0
215,2006,Valparaiso University,Pioneer Football League,Football,IN,90,
216,2006,Vanderbilt University,Southeastern Conference,Football,TN,82,68.0
217,2006,Villanova University,Colonial Athletic Association,Football,PA,84,79.0
218,2006,Virginia Military Institute,Big South Conference,Football,VA,58,47.0
219,2006,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,78,62.0
220,2006,University of Virginia,Atlantic Coast Conference,Football,VA,74,69.0
221,2006,Wagner College,Northeast Conference,Football,NY,82,68.0
222,2006,Wake Forest University,Atlantic Coast Conference,Football,NC,86,77.0
223,2006,Washington State University,Pac-12 Conference,Football,WA,57,51.0
224,2006,University of Washington,Pac-12 Conference,Football,WA,74,66.0
225,2006,Weber State University,Big Sky Conference,Football,UT,47,43.0
226,2006,West Virginia University,Big 12 Conference,Football,WV,80,61.0
227,2006,Western Carolina University,Southern Conference,Football,NC,62,46.0
228,2006,Western Illinois University,Missouri Valley Football Conference,Football,IL,67,59.0
229,2006,Western Kentucky University,Sun Belt Conference,Football,KY,72,59.0
230,2006,Western Michigan University,Mid-American Conference,Football,MI,68,58.0
231,2006,College of William & Mary,Colonial Athletic Association,Football,VA,84,82.0
