Survey Year,School,Classification,TotalUndergrads,FootballRevenue,TotalSportsRevenue
2006,Colorado State University,NCAA Division I-A,20500,4106247,19777870
2006,Fordham University,NCAA Division I-AA,5200,4136962,18308251
2006,Furman University,NCAA Division I-AA,2642,4142057,14824567
2006,Bowling Green State University-Main Campus,NCAA Division I-A,16085,4261871,23524181
2006,University of Central Florida,NCAA Division I-A,29907,4293022,29639288
2006,San Jose State University,NCAA Division I-A,22733,4308283,16970448
2006,Ohio University-Main Campus,NCAA Division I-A,16562,4445964,18671109
2006,University of Nevada-Reno,NCAA Division I-A,12404,4446166,19878194
2006,Central Michigan University,NCAA Division I-A,18331,4465376,20434178
2006,San Diego State University,NCAA Division I-A,23229,4508597,31106320
2006,SUNY at Buffalo,NCAA Division I-A,17517,4551896,19724701
2006,Appalachian State University,NCAA Division I-AA,12442,4554223,9616056
2006,Eastern Michigan University,NCAA Division I-A,12405,4653129,19580253
2006,Miami University-Oxford,NCAA Division I-A,14385,4819872,22252089
2006,University of Idaho,NCAA Division I-A,7927,4885021,12730220
2006,University of Tulsa,NCAA Division I-A,2712,5015376,24276929
2006,Liberty University,NCAA Division I-AA,8408,5109943,17546026
2006,University of Delaware,NCAA Division I-AA,15211,5531893,24855072
2006,Middle Tennessee State University,NCAA Division I-A,17257,5838119,17348681
2006,University of Alabama at Birmingham,NCAA Division I-A,10753,6348331,21600512
2006,University of Memphis,NCAA Division I-A,15984,6457912,29335795
2006,Florida International University,NCAA Division I-A,30049,6466113,17936027
2006,University of Wyoming,NCAA Division I-A,7436,6598307,21031881
2006,Marshall University,NCAA Division I-A,7837,6604877,18965635
2006,East Carolina University,NCAA Division I-A,15832,6712382,25080006
2006,Tulane University of Louisiana,NCAA Division I-A,5218,6871440,19168000
2006,University of Houston,NCAA Division I-A,19552,6925282,28188613
2006,University of Southern Mississippi,NCAA Division I-A,14422,7221086,16022899
2006,The University of Montana,NCAA Division I-AA,9716,7466499,16449636
2006,University of Hawaii at Manoa,NCAA Division I-A,11473,7533652,26506426
2006,California State University-Fresno,NCAA Division I-A,15178,7902336,25153897
2006,The University of Texas at El Paso,NCAA Division I-A,16561,8157860,20831731
2006,University of Cincinnati-Main Campus,NCAA Division I-A,16350,8162664,34172785
2006,Southern Methodist University,NCAA Division I-A,6489,8678120,27708145
2006,Temple University,NCAA Division I-A,21383,8717771,25836567
2006,Duke University,NCAA Division I-A,6244,8966170,47507169
2006,Baylor University,NCAA Division I-A,11434,9270595,40475819
2006,University of South Florida,NCAA Division I-A,24214,9289982,28160631
2006,Rice University,NCAA Division I-A,2995,9553283,26031598
2006,Brigham Young University,NCAA Division I-A,27465,10142975,32100899
2006,Washington State University,NCAA Division I-A,14051,10466370,31928453
2006,Iowa State University,NCAA Division I-A,19048,10807280,36876628
2006,University of Utah,NCAA Division I-A,15022,11184198,25913332
2006,University of Kansas Main Campus,NCAA Division I-A,18576,11258985,65194721
2006,University of Connecticut,NCAA Division I-A,15196,11976959,52811643
2006,Mississippi State University,NCAA Division I-A,11697,12074969,25842032
2006,Wake Forest University,NCAA Division I-A,4332,12114647,36827089
2006,Boise State University,NCAA Division I-A,10811,12123981,22314219
2006,Stanford University,NCAA Division I-A,6689,12927407,65480187
2006,Texas Christian University,NCAA Division I-A,7267,13257717,39191874
2006,University of Virginia-Main Campus,NCAA Division I-A,13151,14213380,64852417
2006,Syracuse University,NCAA Division I-A,12144,14866061,43732382
2006,Vanderbilt University,NCAA Division I-A,6378,15219537,39021876
2006,University of Missouri-Columbia,NCAA Division I-A,19933,15284731,48634512
2006,Northwestern University,NCAA Division I-A,7976,15513675,40757282
2006,Rutgers University-New Brunswick/Piscataway,NCAA Division I-A,24477,15643682,44050960
2006,Indiana University-Bloomington,NCAA Division I-A,29549,17033871,44739096
2006,University of Minnesota-Twin Cities,NCAA Division I-A,28516,17390376,64828596
2006,Boston College,NCAA Division I-A,9019,17452269,57392077
2006,Florida State University,NCAA Division I-A,31058,17457519,42165416
2006,University of Arizona,NCAA Division I-A,28442,17489510,45320053
2006,University of Pittsburgh-Main Campus,NCAA Division I-A,15361,17545348,37465582
2006,University of Mississippi Main Campus,NCAA Division I-A,12682,17581209,33576473
2006,North Carolina State University at Raleigh,NCAA Division I-A,21062,18109836,42634590
2006,University of North Carolina at Chapel Hill,NCAA Division I-A,16840,18147854,58188501
2006,University of Louisville,NCAA Division I-A,15103,19023605,54589997
2006,Oklahoma State University-Main Campus,NCAA Division I-A,18737,20412787,46667284
2006,University of Illinois at Urbana-Champaign,NCAA Division I-A,30575,20764472,56804174
2006,University of Miami,NCAA Division I-A,9674,20769443,49219738
2006,Texas Tech University,NCAA Division I-A,22839,20827440,53561872
2006,University of Oregon,NCAA Division I-A,14949,21495626,50489771
2006,Kansas State University,NCAA Division I-A,16510,21730191,48346511
2006,University of Kentucky,NCAA Division I-A,17425,21898082,60556515
2006,University of Colorado at Boulder,NCAA Division I-A,24484,23101126,42354657
2006,Arizona State University at the Tempe Campus,NCAA Division I-A,32722,23519742,53473276
2006,University of California-Los Angeles,NCAA Division I-A,25432,23539593,61309668
2006,Purdue University-Main Campus,NCAA Division I-A,29688,25134139,56293562
2006,West Virginia University,NCAA Division I-A,20590,25174217,46970708
2006,Georgia Institute of Technology-Main Campus,NCAA Division I-A,11842,25331130,49581182
2006,University of California-Berkeley,NCAA Division I-A,23863,26001075,60538725
2006,University of Nebraska at Lincoln,NCAA Division I-A,15768,26264849,71121812
2006,Oregon State University,NCAA Division I-A,13599,28299199,45409990
2006,The University of Tennessee,NCAA Division I-A,18739,31193706,95401868
2006,University of Southern California,NCAA Division I-A,16729,31705207,76383688
2006,Clemson University,NCAA Division I-A,14172,32029237,55741548
2006,University of Washington-Seattle Campus,NCAA Division I-A,27836,33694962,59648451
2006,University of Wisconsin-Madison,NCAA Division I-A,27219,34105991,82579472
2006,Texas A & M University,NCAA Division I-A,36580,37123296,69413648
2006,University of Oklahoma Norman Campus,NCAA Division I-A,16404,37263255,69430569
2006,Virginia Polytechnic Institute and State University,NCAA Division I-A,21473,40634499,65487381
2006,Michigan State University,NCAA Division I-A,32588,40795755,73171907
2006,University of South Carolina-Columbia,NCAA Division I-A,16729,41275362,60544530
2006,University of Arkansas Main Campus,NCAA Division I-A,12488,42056467,63337303
2006,Pennsylvania State University-Main Campus,NCAA Division I-A,36612,44014052,76327504
2006,University of Iowa,NCAA Division I-A,20300,45335026,80203645
2006,Louisiana State University and Agricultural & Mechanical College,NCAA Division I-A,25709,48141751,76499511
2006,University of Michigan-Ann Arbor,NCAA Division I-A,24631,50982629,89079982
2006,The University of Alabama,NCAA Division I-A,17784,53182806,81946464
2006,Auburn University Main Campus,NCAA Division I-A,18896,56830516,81696758
2006,University of Florida,NCAA Division I-A,31742,58904976,107781004
2006,Ohio State University-Main Campus,NCAA Division I-A,34982,59142071,109382222
2006,University of Georgia,NCAA Division I-A,25437,59516939,75937460
2006,University of Notre Dame,NCAA Division I-A,8338,63675034,83586903
2006,The University of Texas at Austin,NCAA Division I-A,33063,63798068,105048632
